,*YEAR 2023 ,,,,,,,,
,,,,,FLOOD,,,,
# ,DATE ,MONTH ,BARANGAY ,LOCATION ,,WEATHER DISTURBANCES ,REMARKS ,LATITUDE ,LONGITUDE
,,,,,DEPTH ,,,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
1,,,,Bernabe Phase 3 ,,,,14.47282934,120.998285
,,,,,Level ,Thunderstorm ,of 1400H ,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
2,,,,Canaynay Ave. ,,,,14.47510689,121.0011236
,,,,,Level ,Thunderstorm ,of 1230H ,,
,,,,,Gutter,InterTropicalConvergenceZone/Localized,Subsided as,,
3,,,,PNHS Main ,,,,14.47867039,120.9983694
,,,,,Level ,Thunderstorm ,of1230H ,,
,,,,,Gutter,InterTropicalConvergenceZone/Localized,Subsided as,,
4,,,,Wilcon Depot ,,,,14.48118416,120.9967039
,,,,,Level ,Thunderstorm ,of1230H ,,
,,,,Lire Lane St.,Gutter,InterTropicalConvergenceZone/Localized,Subsided as,,
5,,,San Dionisio ,,,,,14.47641048,121.0016749
,,,,VIllanueva Village ,Level ,Thunderstorm ,of 1400H ,,
,,,,Olivarez,,,,,
,,,,,Gutter,InterTropicalConvergenceZone/Localized,,,
6,,,,Compound,,,Subsided as,14.47297956,120.9979914
,,,,,Level ,Thunderstorm ,,,
,,,,Phase 3 ,,,of 1400H ,,
,20 May 2023,,,Aratiles St.,,,,,
,,MAY ,,,Gutter,InterTropicalConvergenceZone/Localized,,,
7,(Saturday) ,,,Olivarez,,,Subsided as,14.47673239,120.9922703
,,,,,Level ,Thunderstorm ,,,
,,,,Compound ,,,of 1300H ,,
,,,,,Gutter,InterTropicalConvergenceZone/Localized,Subsided as,,
8,,,,Pitong Gatang ,,,,14.49254087,120.9897297
,,,,,Level ,Thunderstorm ,of 1300H ,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
9,,,,Hidden Village ,,,,14.47142042,121.0110769
,,,,,Level ,Thunderstorm ,of 1030H ,,
,,,,San Antonio,Waist,InterTropicalConvergenceZone/Localized,Subsided as,,
10,,,,,,,,14.4697662,121.0071013
,,,,Valley 2 ,Level ,Thunderstorm ,of 1230H ,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
11,,,San Isidro ,Top Land ,,,,14.47139324,120.9990969
,,,,,Level ,Thunderstorm ,of 1230H ,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
12,,,,Garden City 1 ,,,,14.47493903,121.0122091
,,,,,Level ,Thunderstorm ,of 1300H ,,
,,,,Greenheights,Gutter,InterTropicalConvergenceZone/Localized,Subsided as,,
13,,,,,,,,14.46761195,121.0141183
,,,,Subdivision ,Level ,Thunderstorm ,of 1300H ,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
14,,,,Pascor Drive ,,,,14.50845386,120.9982638
,,,,,Level ,Thunderstorm ,of 1030H ,,
,,,Sto Niño ,,,,,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
15,,,,Johan St. ,,,,14.50796613,120.999567
,,,,,Level ,Thunderstorm ,of 1030H ,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
16,,,Don Bosco ,El Dorado Dulo ,,,,14.4811838,121.0215527
,,,,,Level ,Thunderstorm ,of 1230H ,,
,,,,Fourth Estate,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
17,,,,,,,,14.46104748,121.0274228
,,,,(North Bound) ,Level ,Thunderstorm ,of 1100H ,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
18,,,,Area 2 ,,,,14.46354921,121.0316895
,,,,,Level ,Thunderstorm ,of 1100H ,,
,,,,San Antonio,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
19,,,San Antonio ,,,,,14.46505509,
,,,,Valley 1 Stoplight ,Level ,Thunderstorm ,of 1030H ,,121.0198629
,,,,San Antonio,Gutter,InterTropicalConvergenceZone/Localized,Subsided as,,
20,,,,,,,,14.47382233,121.0248753
,,,,Valley 3 ,Level ,Thunderstorm ,of 1100H ,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
21,,,,Susafe St ,,,,14.47192745,121.0200041
,,,,,Level ,Thunderstorm ,of 1230H ,,
,,,,Sun Valley,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
22,,,,,,,,14.49114515,121.0386929
,,,,Subdivision ,Level ,Thunderstorm ,of 1030H ,,
,,,Sun Valley ,,,,,,
,,,,,Knee,InterTropicalConvergenceZone/Localized,Subsided as,,
23,,,,Culdesac ,,,,14.49313255,121.0362397
,,,,,Level ,Thunderstorm ,of 1030H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Knee,,,,
24,,,,Bernabe Phase 3 ,,ENHANCED BY SOUTHWEST,Subsided as,14.47297956,120.9979914
,,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 2021H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Knee,,,,
25,,,San Dionisio ,Canaynay Ave. ,,ENHANCED BY SOUTHWEST,Subsided as,14.47510689,121.0011236
,,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1730H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,31 May 2023,,,,Gutter,,,,
26,,MAY ,,PNHS Main ,,ENHANCED BY SOUTHWEST,Subsided as,14.47873163,120.9982858
,(Wednesday) ,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1735H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Knee,,,,
27,,,San Isidro ,Top Land ,,ENHANCED BY SOUTHWEST,Subsided as,14.47139324,120.9990969
,,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1734H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Knee,,,,
28,,,Sto Niño ,Halik Alon ,,ENHANCED BY SOUTHWEST,Subsided as,14.49751656,121.0028845
,,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1740H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Knee,,,,
29,,,,Doña Soledad,,ENHANCED BY SOUTHWEST,Subsided as,14.48581131,121.0282639
,,,,,Level ,,,,
,,,,Extension ,,MONSOON/TYPHOON BETTY ,of 1740H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Knee,,,,
30,,,,El Dorado Dulo ,,ENHANCED BY SOUTHWEST,Subsided as,14.48040695,121.0212885
,,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1740H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,Lancris,Knee,,,,
31,,,Don Bosco ,,,ENHANCED BY SOUTHWEST,Subsided as,14.47562421,121.0269867
,,,,Residences ,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1730H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Gutter,,,,
32,,,,India Street ,,ENHANCED BY SOUTHWEST,Subsided as,14.48064647,121.0309432
,,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1730H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Gutter,,,,
33,,,,Santos Extension ,,ENHANCED BY SOUTHWEST,Subsided as,14.49253065,121.0104106
,,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1740H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Gutter,,,,
34,,,,Ilang-Ilang Street ,,ENHANCED BY SOUTHWEST,Subsided as,14.46176407,121.0428821
,,,,,Level ,,,,
,,,Marcelo,,,MONSOON/TYPHOON BETTY ,of 1737H ,,
,,,Green ,,,LOCALIZED THUNDERSTORMS,,,
,,,,Sampaguita,Gutter,,,,
35,,,,,,ENHANCED BY SOUTHWEST,Subsided as,14.46983638,121.0375532
,,,,Street ,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1737H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,Fourth Estate,Knee,,,,
36,,,,,,ENHANCED BY SOUTHWEST,Subsided as,14.46104748,121.0274228
,,,,(North Bound) ,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1737H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,Fourth Estate,Knee,,,,
37,,,San Antonio ,,,ENHANCED BY SOUTHWEST,Subsided as,14.46101814,121.0273447
,,,,(South Bound) ,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,of 1730H ,,
,,,,,,LOCALIZED THUNDERSTORMS,,,
,,,,,Gutter,,,,
38,,,,Lower Barangay ,,ENHANCED BY SOUTHWEST,,14.46947844,121.0240903
,,,,,Level ,,,,
,,,,,,MONSOON/TYPHOON BETTY ,- ,,
,,,,,Knee,Southwest Monsoon/Localized,Subsided as,,
39,,,,Bagong Ilog ,,,,14.53154406,120.997831
,,,,,Level ,Thunderstorm ,of 2334H ,,
,"June 7, 2023",,,Roax BLVD cor.,Gutter,Southwest Monsoon/Localized,Subsided as,,
40,,,Baclaran ,,,,,14.51761763,120.9931615
,(Wednesday) ,,,NAIA Rd. ,Level ,Thunderstorm ,of 0021H ,,
,,,,,Waist,Southwest Monsoon/Localized,Subsided as,,
41,,,,Dimasalang St. ,,,,14.53038217,120.9964018
,,June ,,,Level ,Thunderstorm ,of 2226H ,,
,,,,,Knee,Southwest Monsoon/Localized,Subsided as,,
42,,,,Bagong Lipunan ,,,,14.53069675,120.9990098
,,,,,Level ,Thunderstorm ,of 2226H ,,
,,,,,Knee,Southwest Monsoon/Localized,Subsided as,,
43,,,,Bagong Sikat St. ,,,,14.53113222,120.9989479
,,,,,Level ,Thunderstorm ,of 2226H ,,
,,,,DASA,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
44,,,,,,,,14.47510689,121.0011236
,,,,CANAYNAY ,Level ,AREA ,of 2145H ,,
,,,,,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
45,,,,DIAMOND ST ,,,,121.0014939,121.0014939
,,,,,Level ,AREA ,of 2235H ,,
,,,San Dionisio ,,,,,,
,,,,,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
46,,,,DASA PNHS ,,,,14.47873163,120.9982858
,,,,,Level ,AREA ,of 2235H ,,
,,,,,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
47,,,,BIR ,,,,14.47555858,121.0008623
,,,,,Level ,AREA ,of 2235H ,,
,,,,HIDDEN,,,,,
,,,,,Gutter,Southwest Monsoon/LOW PRESSURE,,,
48,,,,VILLAGE CRUZ,,,Subsided as,14.47142042,121.0110769
,,,,,Level ,AREA ,,,
,,,,COMPOUND ,,,of 2235H ,,
,,,San Isidro ,GREENHEIGHTS,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
49,,,,,,,,14.46761195,121.0141183
,,,,VILLAGE ,Level ,AREA ,of 2130H ,,
,,,,VALLE 2,Waist,Southwest Monsoon/LOW PRESSURE,Subsided as,,
50,,,,,,,,14.4697662,121.0071013
,"July 12, 2023",,,BRIDGE ,Level ,AREA ,of 2235H ,,
,(,,,,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
51,,,,SITIO LIBJO ,,,,14.49997954,121.0097964
,Wednesday) ,,,,Level ,AREA ,of 2235H ,,
,,,Sto Niño ,,,,,,
,,,,,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
52,,,,GOMBURZA ST. ,,,,14.50742785,120.9960109
,,,,,Level ,AREA ,of 2235H ,,
,,,,,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
53,,,Tambo ,SEASIDE ST. ,,,,14.51681324,120.9936602
,,,,,Level ,AREA ,of 2030H ,,
,,,,BANANA,Waist,Southwest Monsoon/LOW PRESSURE,Subsided as,,
54,,,,,,,,14.50953296,121.0055982
,,,,COMPOUND ,Level ,AREA ,of 2235H ,,
,,,,,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
55,,,,GAT MENDOZA ,,,,14.50942358,121.007314
,,,,,Level ,AREA ,of 2200H ,,
,,,Vitalez ,,,,,,
,,,,,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
56,,,,JET LANE ,,,,14.51006607,121.0061827
,,,,,Level ,AREA ,of 2200H ,,
,,,,VITALEZ,Waist,Southwest Monsoon/LOW PRESSURE,Subsided as,,
57,,,,,,,,14.50996565,121.0056249
,,,,COMPOUND ,Level ,AREA ,of 2235H ,,
,,,,PRES QUEZON,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
58,,,BF Homes ,,,,,14.45486296,121.0305948
,,JULY ,,ST. ,Level ,AREA ,of 2030H ,,
,,,,LANCRIS,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
59,,,Don Bosco ,,,,,14.47562421,121.0269867
,,,,RESIDENCES ,Level ,AREA ,of 2030H ,,
,,,Marcelo,ILANG-ILANG,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
60,,,,,,,,14.46176407,121.0428821
,,,Green ,STREET ,Level ,AREA ,of 2235H ,,
,,,,,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
61,,,,TIMOTHY ST. ,,,,"14.480149100103628, ",121.0074246
,,,,,Level ,AREA ,of 2030H ,,
,,,Moonwalk ,,,,,,
,,,,,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
62,,,,AIRPORT ROAD ,,,,14.5274572,120.9991212
,,,,,Level ,AREA ,of 2030H ,,
,,,,DASA FOURTH,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
63,,,,,,,,14.46104748,121.0274228
,,,,ESTATE ,Level ,AREA ,of 2030H ,,
,,,,SAN ANTONIO,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
64,,,,,,,,14.46947669,121.0241379
,,,,BRGY. HALL ,Level ,AREA ,of 2030H ,,
,,,,AREA 2 LUPANG,Waist,Southwest Monsoon/LOW PRESSURE,Subsided as,,
65,,,San Antonio ,,,,,14.46354921,121.0316895
,,,,HINIRANG ,Level ,AREA ,of 2030H ,,
,,,,SUSAFE,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
66,,,,,,,,14.47192745,121.0200041
,,,,STREET ,Level ,AREA ,of 2030H ,,
,,,,LOWER,Waist,Southwest Monsoon/LOW PRESSURE,Subsided as,,
67,,,,,,,,14.47233399,121.0243266
,,,,BARANGAY ,Level ,AREA ,of 2235H ,,
,,,San Martin De,SMDP BRGY,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
68,,,,,,,,14.49456304,121.0423562
,,,Porres ,HALL ,Level ,AREA ,of 2030H ,,
,,,,SUN VALLEY,Gutter,Southwest Monsoon/LOW PRESSURE,Subsided as,,
69,,,,,,,,14.49164842,121.0370744
,,,,DRIVE ,Level ,AREA ,of 2030H ,,
,,,,SUN VALLEY,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
70,,,,,,,,14.49073559,121.0387988
,,,,SUBDIVISION ,Level ,AREA ,of 2030H ,,
,,,Sun Valley ,,,,,,
,,,,ANNEX 41,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
71,,,,,,,,14.4910939,121.0328747
,,,,UPPER ,Level ,AREA ,of 2030H ,,
,,,,RAMOS,Knee,Southwest Monsoon/LOW PRESSURE,Subsided as,,
72,,,,,,,,14.49221323,121.0376738
,,,,COMPOUND ,Level ,AREA ,of 2030H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,FACTOR,Gutter,,,,
73,,,Don Galo ,,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.50775214,120.9929467
,,,,COMPOUND ,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,29,,,,,,,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Knee,,,,
74,,,San Dionisio ,A. Bonifacio ,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.49369678,120.9896713
,,,,,Level ,,,,
,,JULY ,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Knee,,,,
75,,,,Camia Street ,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.47234508,121.0000358
,,,,,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Gutter,,,,
76,,,,Bernabe Phase 3 ,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.47297956,120.9979914
,,,,,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Knee,,,,
77,,,,Sitio Libjo ,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.49997954,121.0097964
,,,,,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Knee,,,,
78,,,Sto Niño ,Halik Alon ,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.49751656,121.0028845
,,,,,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Knee,,,,
79,,,,Pascor Drive ,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.50845386,120.9982638
,,,,,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,Banana,Knee,,,,
80,,,Vitalez ,,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.50953296,121.0055982
,,,,Compound ,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,Margelo,Ireneville,Gutter,,,,
81,,,,,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.45569564,121.0312618
,,,Green ,Subdivision ,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Knee,,,,
82,,,Merville ,Sitio Tuyuan ,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.49533584,121.0253201
,,,,,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,Infront of Baragay,Gutter,,,,
83,,,San Antonio ,,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.46947844,121.0240903
,,,,Hall ,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Knee,,,,
84,,,Sun Valley ,Lower Sta. Ana ,,MONSOON ENHANCED BY TROPICAL,Subsided as,14.49429083,121.0279459
,,,,,Level ,,,,
,,,,,,STORM FALCON ,of 2045H ,,
,,,,,Knee,EFFECTS OF SOUTHWEST,,,
85,22,,San Dionisio ,Bernabe Phase 3 ,,,,14.47297956,120.9979914
,,AUGUST ,,,Level ,MONSOON ,,,
,,,,,,EFFECTS OF SOUTHWEST,,,
,,,,,Gutter,,,,
86,24,AUGUST ,Baclaran ,Opena Street ,,MONSOON/LOCALIZED,Subsided as,14.53116446,120.9947472
,,,,,Level ,,,,
